numero_de_cliente,Predicted
58292452,1
38914945,1
177743993,1
64639061,1
192592605,1
92289921,1
145816140,1
204869534,1
36526866,1
106690927,1
159483548,1
150317301,1
199201855,1
179990532,1
103755046,1
58397237,1
63435206,1
120102397,1
145736778,1
119759694,1
175980700,1
32320835,1
198918084,1
173749330,1
148359754,1
176461971,1
77152002,1
105500159,1
142562546,1
50604731,1
105606731,1
61607602,1
91868953,1
151369875,1
99276703,1
144415554,1
164881155,1
84007636,1
138311471,1
80735596,1
155302073,1
62021928,1
111724415,1
88034030,1
56912592,1
139978082,1
83332940,1
109617136,1
31894705,1
75023394,1
178103188,1
173804728,1
157053641,1
113069435,1
162246366,1
102871390,1
32336844,1
145023986,1
141145360,1
116862294,1
173121910,1
191949778,1
113599008,1
161540581,1
192181921,1
163936032,1
102048759,1
180205265,1
113018261,1
131755063,1
210337068,1
193970511,1
116283709,1
112962685,1
114301043,1
118080509,1
31659532,1
138234705,1
177951442,1
64212378,1
194082264,1
97408989,1
96671799,1
132867525,1
85105373,1
87230516,1
107030629,1
83334381,1
75982078,1
120909049,1
140743193,1
147419447,1
39896003,1
119167044,1
152680884,1
61819562,1
88786518,1
153098664,1
77433769,1
205931523,1
62862562,1
91329935,1
192666302,1
86511742,1
73802465,1
112531315,1
84083425,1
175186108,1
88496006,1
94315687,1
38819989,1
166406670,1
126961840,1
112894358,1
135585190,1
130420525,1
95209982,1
84616778,1
88730646,1
175842436,1
64745830,1
112629833,1
136576838,1
176065795,1
117348451,1
175363119,1
99545018,1
212946542,1
78781157,1
124661867,1
108675122,1
35544939,1
80992659,1
145634648,1
180839200,1
87663317,1
196486440,1
43587403,1
196375447,1
109164793,1
156655067,1
71854176,1
194505749,1
40888441,1
135779118,1
180619078,1
87200848,1
64424516,1
154907565,1
109749330,1
92229737,1
103473347,1
95798161,1
63234912,1
85270590,1
198754653,1
87299159,1
173536166,1
114266579,1
167179569,1
34705371,1
185683774,1
97152132,1
158368569,1
32945028,1
144105846,1
87585229,1
87255950,1
126951803,1
91701782,1
202578819,1
163753079,1
127669560,1
73259232,1
108099912,1
112895957,1
97844831,1
156904818,1
203855778,1
152785097,1
43046213,1
120046544,1
118591992,1
99530993,1
163030387,1
185782164,1
143724494,1
86665846,1
32165646,1
123755028,1
82168336,1
83644434,1
110291053,1
38877934,1
102042304,1
87642690,1
126554857,1
42176049,1
120237008,1
109696340,1
35772325,1
180916015,1
83796130,1
56922708,1
115685808,1
185297833,1
194544852,1
37922951,1
150118774,1
119657376,1
148027513,1
155890282,1
193619251,1
121760125,1
59050516,1
184548602,1
87369894,1
84062758,1
62173969,1
42500128,1
97101719,1
87684577,1
130133556,1
39999535,1
109914794,1
77958802,1
104202918,1
80273057,1
140730106,1
36784482,1
125821516,1
56024624,1
85762274,1
94148832,1
40628041,1
73485049,1
84816953,1
195127485,1
40522042,1
83954676,1
178208407,1
79580803,1
87494883,1
94278202,1
72285201,1
80317124,1
135919839,1
140734370,1
177333921,1
131428971,1
167098214,1
176496367,1
161995964,1
148344999,1
89541740,1
176031725,1
77501731,1
109091383,1
64800468,1
192732102,1
107741764,1
196100598,1
122396566,1
40434449,1
77370436,1
37275682,1
152417069,1
88970971,1
37288918,1
35868129,1
173322391,1
156176184,1
39929609,1
153916835,1
157073420,1
184982390,1
36976387,1
166291670,1
68484436,1
104084542,1
56456912,1
32789957,1
60193170,1
78105188,1
44450796,1
186300841,1
127413010,1
178501929,1
163112098,1
153031472,1
60692680,1
63519463,1
68018631,1
91609422,1
106212153,1
72494614,1
40554217,1
60108153,1
113610763,1
81286349,1
134441915,1
151121279,1
210007966,1
62598145,1
33794486,1
104791285,1
36568555,1
59884991,1
59756913,1
164743050,1
156152458,1
102819289,1
173413477,1
210571510,1
118191227,1
185298228,1
112714435,1
130624816,1
177810870,1
87105201,1
180502409,1
107659974,1
175441099,1
79698883,1
37001080,1
116591897,1
151732958,1
144833759,1
152865278,1
157415935,1
82570602,1
87589690,1
196117248,1
97582506,1
192321981,1
141759071,1
159618209,1
84695192,1
184635267,1
37626586,1
68371035,1
131646527,1
117708090,1
